region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
Región de La Araucanía,17.66603409459048,17.478500202023525,11.462143341585769,13.758949377669463,74.67321628786462,64.4206859717371,32.04483095645228,44.121730390402305
Región de Aysén del Gral.Ibañez del Campo,8.800844551608893,8.149734412378896,7.982003606068617,8.53045798631675,26.952572569395596,6.440792751798123,4.250569029736945,14.16466213101079
Región de Los Lagos,15.676712847534807,12.036455820038594,9.84965303762653,12.723229872182706,75.20978422442371,35.22505262417695,10.574919851517098,38.592847405404726
Región del Maule,8.662723579196605,7.397068325048958,5.7323564353659835,5.9788924844192985,13.06083740515556,9.42653179224848,4.622294978139358,5.235814718155665
Región de Valparaíso,4.799514095445852,4.193036458820773,4.038608508257073,4.072370433696837,5.014231547844535,1.033853066536954,1.0203004953401844,1.021252208473273
Región del Libertador Bernardo O'Higgins,7.084993295080954,6.757809565139887,6.080527323794882,6.22249619563788,6.034435454324989,4.362280565590947,3.6849002643041104,3.8303347230035216
Región Metropolitana de Santiago,12.006924741387829,11.478456369039678,11.34103314564717,11.38096839563923,23.83559534157919,14.916445290855886,14.902981920473938,14.914058787958778
Región de Los Ríos,19.003776696031274,15.33541940112697,11.25863668107963,15.398047032331196,41.47225110145062,22.804465456563506,12.311430064947212,26.248734314520263
Región de Ñuble,16.953211299503415,14.367678068928251,11.769544041208684,11.987133370390378,27.449297431475593,19.163797807135612,15.081500668388852,15.116268570079479
Región del Bío-Bío,13.90593635556565,13.35258600127727,10.64124890583657,11.132276296254226,36.09828200436636,25.63454934538845,18.145503929489294,18.668461193171485
